"name","B"
"Sam Wezniak","R"
"Jeremy Williams","R"
"Jack Winkler","R"
"Caleb Wurster","L"
"Bradlee Beesley","R"
"John Beller","L"
"Eric Bigani","R"
"Noah Campbell","S"
"Noah Cardenas","R"
"Oscar Carvajal","R"
"Brady Corrigan","R"
"Jeffrey Costello","R"
"Trenton Denholm","R"
"Mark DiLuia","R"
"Taylor Dollard","R"
"Brandon Dufault","R"
"Gavin Dugas","R"
"William Escala","R"
"Andrew Eyster","R"
"Jackson Greer","R"
"Joseph Hall","R"
"Ryan Hare","R"
"Brendan Hueth","L"
"Gordon Ingebritson","R"
"Adam Jeannette","R"
"Jack Jett","R"
"Cullen Kafka","R"
"Adam Kerner","R"
"Riley King","R"
"Trevor Kniskern","R"
"Jack Leftwich","R"
"Carlos Lomeli","R"
"Zack Matthews","R"
"Nolan McCarthy","R"
"Ryne Moore","R"
"Andrew Mundy","R"
"Noah Myers","L"
"Daylan Nanny","L"
"Jake Palmer","L"
"Will Picketts","R"
"Cole Pletka","R"
"Tate Samuelson","R"
"Ian Seymour","L"
"Chase Smith","R"
"Ledgend Smith","R"
"Cole Stetzar","R"
"David Stiehl","R"
"Jake Suddleson","R"
"Drew Swift","R"
"Carson Taylor","S"
"Riley Tirotta","R"
"Erik Tolman","L"
"Kooi, Vander","R"
"Luke Waddell","L"
"Chase Walter","R"
"Ronald Washington","R"
"Michael Weisberg","R"
"Austin Wells","L"
"Jacob Winger","R"
"Jack-Thomas Wold","L"
"R.J. Yeager","R"
"Wyatt Young","L"
"Jake Alu","L"
"Luis Alvarado","R"
"Andy Atwood","R"
"Tyler Barss","R"
"Nick Bennett","L"
"Daniel Bies","R"
"Spencer Brickhouse","L"
"Turner Brown","S"
"Timothy Cate","R"
"Dylan Coleman","R"
"Andrew Crane","L"
"Brian Eichhorn","R"
"Jeremy Eierman","R"
"Ryan Feltner","R"
"Tyler Fitzgerald","R"
"Andrew Fregia","R"
"Ray Gaither","R"
"Jameson Hannah","L"
"Carter Henry","R"
"Zack Hess","R"
"Bryan Hoeing","R"
"Christopher Holba","S"
"Nick Johnson","R"
"Eli Kraus","L"
"Bounty, La","R"
"Sean Leland","R"
"Lyle Lin","R"
"Chad Luensmann","L"
"Kyle Marman","R"
"Kyle Martin","R"
"Logan McRae","R"
"Ian Miller","R"
"Zach Mort","R"
"Jack Nelson","R"
"Richard Palacios","L"
"PJ Poulin","R"
"Anthony Prato","R"
"Patrick Raby","R"
"Kevin Radziewicz","R"
"Ronnie Rossomando","R"
"Christian Ryder","R"
"Scott Schreiber","R"
"Ryan Simpler","R"
"Jared Skolnicki","R"
"Baylor Sundahl","R"
"Zac Susi","L"
"Jared Triolo","R"
"Blake Whitney","R"
"Grant Williams","L"
"Grant Witherspoon","L"
